genome_id	PA	n_genes	sporulation_ability	clade_name	Species
GCF_000009085.1	TRUE	13	Non-spore-former	k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria|o__Campylobacterales|f__Campylobacteraceae|g__Campylobacter|s__Campylobacter_jejuni	Campylobacter jejuni
GCF_000010425.1	TRUE	14	Non-spore-former	k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_adolescentis	Bifidobacterium adolescentis
GCF_000012825.1	TRUE	14	Non-spore-former	k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Phocaeicola|s__Phocaeicola_vulgatus	Phocaeicola vulgatus
GCF_000014425.1	TRUE	18	Non-spore-former	k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus|s__Lactobacillus_gasseri	Lactobacillus gasseri
GCF_000014445.1	TRUE	15	Non-spore-former	k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Leuconostoc|s__Leuconostoc_mesenteroides	Leuconostoc mesenteroides
GCF_000014505.1	TRUE	18	Non-spore-former	k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Pediococcus|s__Pediococcus_pentosaceus	Pediococcus pentosaceus
GCF_000022965.1	TRUE	14	Non-spore-former	k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_animalis	Bifidobacterium animalis
GCF_000024225.1	TRUE	16	Non-spore-former	k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Atopobiaceae|g__Lancefieldella|s__Lancefieldella_parvula	Lancefieldella parvula
GCF_000025305.1	TRUE	19	Non-spore-former	k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales|f__Acidaminococcaceae|g__Acidaminococcus|s__Acidaminococcus_fermentans	Acidaminococcus fermentans
GCF_000025985.1	TRUE	10	Non-spore-former	k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_fragilis	Bacteroides fragilis
GCF_000092505.1	TRUE	14	Non-spore-former	k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Leuconostoc|s__Leuconostoc_kimchii	Leuconostoc kimchii
GCF_000146185.1	TRUE	40	Spore-former	k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Lachnospira|s__Lachnospira_eligens	Lachnospira eligens
GCF_000146345.1	TRUE	20	Non-spore-former	k__Bacteria|p__Firmicutes|c__Tissierellia|o__Tissierellales|f__Peptoniphilaceae|g__Peptoniphilus|s__Peptoniphilus_duerdenii	Peptoniphilus duerdenii
GCF_000147675.1	TRUE	25	Non-spore-former	k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Peptostreptococcaceae|g__Peptostreptococcus|s__Peptostreptococcus_stomatis	Peptostreptococcus stomatis
GCF_000152245.2	TRUE	28	Non-spore-former	k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Eubacteriaceae|g__Eubacterium|s__Eubacterium_callanderi	Eubacterium callanderi
GCF_000154385.1	TRUE	35	Spore-former	k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__Faecalibacterium|s__Faecalibacterium_prausnitzii	Faecalibacterium prausnitzii
GCF_000154465.1	TRUE	13	Non-spore-former	k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_putredinis	Alistipes putredinis
GCF_000154525.1	TRUE	12	Non-spore-former	k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_stercoris	Bacteroides stercoris
GCF_000154825.1	TRUE	41	Spore-former	k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Eubacteriaceae|g__Anaerofustis|s__Anaerofustis_stercorihominis	Anaerofustis stercorihominis
GCF_000155515.2	TRUE	17	Non-spore-former	k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lacticaseibacillus|s__Lacticaseibacillus_paracasei	Lacticaseibacillus paracasei
GCF_000156195.1	TRUE	12	Non-spore-former	k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_finegoldii	Bacteroides finegoldii
GCF_000157355.2	TRUE	22	Non-spore-former	k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae|g__Enterococcus|s__Enterococcus_casseliflavus	Enterococcus casseliflavus
GCF_000160055.1	TRUE	20	Non-spore-former	k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Dialister|s__Dialister_invisus	Dialister invisus
GCF_000164675.2	TRUE	18	Non-spore-former	k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_parasanguinis	Streptococcus parasanguinis
GCF_000169255.2	TRUE	46	Spore-former	k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__Pseudoflavonifractor|s__Pseudoflavonifractor_capillosus	Pseudoflavonifractor capillosus
GCF_000172175.1	TRUE	15	Non-spore-former	k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_intestinalis	Bacteroides intestinalis
GCF_000175615.1	TRUE	15	Non-spore-former	k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Micrococcales|f__Micrococcaceae|g__Rothia|s__Rothia_mucilaginosa	Rothia mucilaginosa
GCF_000178095.1	TRUE	23	Non-spore-former	k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Peptostreptococcaceae|g__Peptostreptococcus|s__Peptostreptococcus_anaerobius	Peptostreptococcus anaerobius
GCF_000185705.2	TRUE	19	Non-spore-former	k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales|f__Desulfovibrionaceae|g__Bilophila|s__Bilophila_wadsworthia	Bilophila wadsworthia
GCF_000187895.1	TRUE	14	Non-spore-former	k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Phocaeicola|s__Phocaeicola_plebeius	Phocaeicola plebeius
GCF_000190355.1	TRUE	40	Spore-former	k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Clostridiaceae|g__Clostridium|s__Clostridium_sp_D5	Clostridium sp D5
GCF_000196555.1	TRUE	13	Non-spore-former	k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_longum	Bifidobacterium longum
GCF_000205025.1	TRUE	13	Non-spore-former	k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Sutterellaceae|g__Parasutterella|s__Parasutterella_excrementihominis	Parasutterella excrementihominis
GCF_000220835.1	TRUE	14	Non-spore-former	k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_sp_oral_taxon_448	Actinomyces sp oral taxon 448
GCF_000225345.1	TRUE	43	Spore-former	k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Roseburia|s__Roseburia_hominis	Roseburia hominis
GCF_000225705.1	TRUE	19	Non-spore-former	k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae|g__Collinsella|s__Collinsella_tanakaei	Collinsella tanakaei
GCF_000233955.1	TRUE	14	Non-spore-former	k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Paraprevotella|s__Paraprevotella_clara	Paraprevotella clara
GCF_000235885.1	TRUE	15	Non-spore-former	k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella_stercorea	Prevotella stercorea
GCF_000236865.1	TRUE	14	Non-spore-former	k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae|g__Senegalimassilia|s__Senegalimassilia_anaerobia	Senegalimassilia anaerobia
GCF_000239695.1	TRUE	12	Non-spore-former	k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_graevenitzii	Actinomyces graevenitzii
GCF_000240185.1	TRUE	21	Non-spore-former	k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Klebsiella|s__Klebsiella_pneumoniae	Klebsiella pneumoniae
GCF_000253315.1	TRUE	18	Non-spore-former	k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_salivarius	Streptococcus salivarius
GCF_000262545.1	TRUE	18	Non-spore-former	k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella_bivia	Prevotella bivia
GCF_000269565.1	TRUE	32	Non-spore-former	k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Coprobacillaceae|g__Coprobacillus|s__Coprobacillus_cateniformis	Coprobacillus cateniformis
GCF_000269805.1	TRUE	16	Non-spore-former	k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_massiliensis	Actinomyces massiliensis
GCF_000278725.1	TRUE	15	Non-spore-former	k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_sp_ICM47	Actinomyces sp ICM47
GCF_000284635.1	TRUE	13	Non-spore-former	k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria|o__Campylobacterales|f__Helicobacteraceae|g__Helicobacter|s__Helicobacter_cinaedi	Helicobacter cinaedi
GCF_000287615.1	TRUE	14	Non-spore-former	k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales|f__Pasteurellaceae|g__Haemophilus|s__Haemophilus_sputorum	Haemophilus sputorum
GCF_000296445.1	TRUE	14	Non-spore-former	k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales|f__Eggerthellaceae|g__Slackia|s__Slackia_piriformis	Slackia piriformis
GCF_000296465.1	TRUE	14	Non-spore-former	k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Barnesiellaceae|g__Barnesiella|s__Barnesiella_intestinihominis	Barnesiella intestinihominis
GCF_000296505.1	TRUE	13	Non-spore-former	k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Actinomycetales|f__Actinomycetaceae|g__Schaalia|s__Schaalia_turicensis	Schaalia turicensis
GCF_000298875.1	TRUE	15	Non-spore-former	k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Leuconostoc|s__Leuconostoc_gelidum	Leuconostoc gelidum
GCF_000308275.2	TRUE	17	Non-spore-former	k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Eubacteriales_unclassified|g__Levyella|s__Levyella_massiliensis	Levyella massiliensis
GCF_000314795.2	TRUE	18	Non-spore-former	k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_sp_F0442	Streptococcus sp F0442
GCF_000321025.1	TRUE	23	Non-spore-former	k__Bacteria|p__Firmicutes|c__Tissierellia|o__Tissierellales|f__Peptoniphilaceae|g__Peptoniphilus|s__Peptoniphilus_senegalensis	Peptoniphilus senegalensis
GCF_000327285.1	TRUE	30	Non-spore-former	k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Holdemania|s__Holdemania_massiliensis	Holdemania massiliensis
GCF_000371705.1	TRUE	50	Spore-former	k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Enterocloster|s__Enterocloster_bolteae	Enterocloster bolteae
GCF_000380105.1	TRUE	19	Non-spore-former	k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_orisratti	Streptococcus orisratti
GCF_000382445.1	TRUE	16	Non-spore-former	k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Phocaeicola|s__Phocaeicola_massiliensis	Phocaeicola massiliensis
GCF_000393015.1	TRUE	19	Non-spore-former	k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae|g__Enterococcus|s__Enterococcus_faecalis	Enterococcus faecalis
GCF_000420065.1	TRUE	14	Non-spore-former	k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Actinomycetales|f__Actinomycetaceae|g__Varibaculum|s__Varibaculum_cambriense	Varibaculum cambriense
GCF_000420505.1	TRUE	13	Non-spore-former	k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Alloscardovia|s__Alloscardovia_omnicolens	Alloscardovia omnicolens
GCF_000424025.1	TRUE	52	Spore-former	k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Clostridiaceae|g__Clostridium|s__Clostridium_paraputrificum	Clostridium paraputrificum
GCF_000429225.1	TRUE	16	Non-spore-former	k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_dentalis	Actinomyces dentalis
GCF_000429265.1	TRUE	14	Non-spore-former	k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_gerencseriae	Actinomyces gerencseriae
GCF_000430525.1	TRUE	15	Non-spore-former	k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella_corporis	Prevotella corporis
GCF_000466165.1	TRUE	16	Non-spore-former	k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Actinomycetales|f__Actinomycetaceae|g__Actinobaculum|s__Actinobaculum_sp_oral_taxon_183	Actinobaculum sp oral taxon 183
GCF_000468955.1	TRUE	17	Non-spore-former	k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Lactococcus|s__Lactococcus_cremoris	Lactococcus cremoris
GCF_000478885.1	TRUE	15	Non-spore-former	k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales|f__Eggerthellaceae|g__Adlercreutzia|s__Adlercreutzia_equolifaciens	Adlercreutzia equolifaciens
GCF_000577815.1	TRUE	51	Spore-former	k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Clostridiaceae|g__Clostridium|s__Clostridium_saudiense	Clostridium saudiense
GCF_000590555.1	TRUE	15	Non-spore-former	k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Corynebacteriales|f__Corynebacteriaceae|g__Corynebacterium|s__Corynebacterium_argentoratense	Corynebacterium argentoratense
GCF_000686665.1	TRUE	35	Spore-former	k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Erysipelatoclostridium|s__Clostridium_saccharogumia	Clostridium saccharogumia
GCF_000709415.1	TRUE	21	Non-spore-former	k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Staphylococcaceae|g__Staphylococcus|s__Staphylococcus_xylosus	Staphylococcus xylosus
GCF_000765235.1	TRUE	37	Spore-former	k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__Oscillibacter|s__Oscillibacter_sp_ER4	Oscillibacter sp ER4
GCF_000821305.1	TRUE	49	Spore-former	k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Clostridiaceae|g__Clostridium|s__Clostridium_culturomicium	Clostridium culturomicium
GCF_000949455.1	TRUE	41	Spore-former	k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__Ruthenibacterium|s__Ruthenibacterium_lactatiformans	Ruthenibacterium lactatiformans
GCF_000953675.1	TRUE	56	Spore-former	k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Peptostreptococcaceae|g__Paeniclostridium|s__Paeniclostridium_sordellii	Paeniclostridium sordellii
GCF_001025175.1	TRUE	13	Non-spore-former	k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_breve	Bifidobacterium breve
GCF_001025195.1	TRUE	13	Non-spore-former	k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_catenulatum	Bifidobacterium catenulatum
GCF_001025215.1	TRUE	14	Non-spore-former	k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_pseudocatenulatum	Bifidobacterium pseudocatenulatum
GCF_001042595.1	TRUE	14	Non-spore-former	k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_dentium	Bifidobacterium dentium
GCF_001182045.1	TRUE	13	Non-spore-former	k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Sutterellaceae|g__Dakarella|s__Dakarella_massiliensis	Dakarella massiliensis
GCF_001189515.2	TRUE	20	Non-spore-former	k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Atopobiaceae|g__Olsenella|s__Olsenella_sp_oral_taxon_807	Olsenella sp oral taxon 807
GCF_001244995.1	TRUE	47	Spore-former	k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Eubacteriales_unclassified|g__Intestinimonas|s__Intestinimonas_massiliensis	Intestinimonas massiliensis
GCF_001261775.1	TRUE	48	Spore-former	k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__Anaeromassilibacillus|s__Anaeromassilibacillus_senegalensis	Anaeromassilibacillus senegalensis
GCF_001281025.1	TRUE	18	Non-spore-former	k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_mitis	Streptococcus mitis
GCF_001293125.1	TRUE	15	Non-spore-former	k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Corynebacteriales|f__Lawsonellaceae|g__Lawsonella|s__Lawsonella_clevelandensis	Lawsonella clevelandensis
GCF_001314995.1	TRUE	13	Non-spore-former	k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_ovatus	Bacteroides ovatus
GCF_001405015.1	TRUE	50	Spore-former	k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Clostridiaceae|g__Clostridium|s__Clostridium_disporicum	Clostridium disporicum
