Domain	Phylum	Class	Order	Family	Genus	Species	is_ethanol_resistant
Bacteria	Bacillota	Clostridia	Eubacteriales	Oscillospiraceae	Faecalibacterium	Faecalibacterium_SGB15346	Non ethanol-resistant
Bacteria	Bacillota	Clostridia	Eubacteriales	Lachnospiraceae	Anaerobutyricum	Anaerobutyricum_hallii	Ethanol-resistant
Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Sutterellaceae	Sutterella	Sutterella_wadsworthensis	Ethanol-resistant
Bacteria	Actinobacteria	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	Collinsella	Collinsella_aerofaciens	Uncertain
Bacteria	Bacillota	Clostridia	Eubacteriales	Clostridiaceae	Clostridium	Clostridium_sp_AM22_11AC	Ethanol-resistant
Bacteria	Bacillota	Clostridia	Eubacteriales	Eubacteriaceae	Eubacterium	Eubacterium_ramulus	Ethanol-resistant
Bacteria	Bacillota	Clostridia	Eubacteriales	Oscillospiraceae	Agathobaculum	Agathobaculum_butyriciproducens	Ethanol-resistant
Bacteria	Bacillota	Clostridia	Eubacteriales	Lachnospiraceae	Roseburia	Roseburia_inulinivorans	Ethanol-resistant
Bacteria	Bacillota	Clostridia	Eubacteriales	Clostridiaceae	Clostridiaceae_unclassified	Clostridiaceae_bacterium	Ethanol-resistant
Bacteria	Bacillota	CFGB1765	OFGB1765	FGB1765	GGB4591	GGB4591_SGB6350	Ethanol-resistant
Bacteria	Bacillota	Clostridia	Eubacteriales	Oscillospiraceae	Lawsonibacter	Lawsonibacter_asaccharolyticus	Non ethanol-resistant
Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides_fragilis	Non ethanol-resistant
Bacteria	Bacillota	Clostridia	Eubacteriales	Lachnospiraceae	Mediterraneibacter	Ruminococcus_gnavus	Ethanol-resistant
Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Odoribacteraceae	Odoribacter	Odoribacter_splanchnicus	Ethanol-resistant
Bacteria	Bacillota	Clostridia	Eubacteriales	Oscillospiraceae	Pseudoflavonifractor	Pseudoflavonifractor_phocaeensis	Non ethanol-resistant
Bacteria	Bacillota	Clostridia	Eubacteriales	Oscillospiraceae	GGB9730	GGB9730_SGB15291	Uncertain
Bacteria	Bacillota	Clostridia	Eubacteriales	Oscillospiraceae	Dysosmobacter	Dysosmobacter_welbionis	Non ethanol-resistant
Bacteria	Bacillota	Clostridia	Eubacteriales	Lachnospiraceae	Roseburia	Roseburia_lenta	Ethanol-resistant
Bacteria	Bacillota	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	Erysipelatoclostridium	Erysipelatoclostridium_ramosum	Ethanol-resistant
Bacteria	Bacillota	Clostridia	Eubacteriales	Lachnospiraceae	Coprococcus	Coprococcus_catus	Ethanol-resistant
Bacteria	Bacillota	Clostridia	Eubacteriales	Lachnospiraceae	Blautia	Blautia_luti	Ethanol-resistant
Bacteria	Bacillota	Clostridia	Eubacteriales	Lachnospiraceae	Brotolimicola	Brotolimicola_acetigignens	Ethanol-resistant
Bacteria	Bacillota	Clostridia	Eubacteriales	Lachnospiraceae	Dorea	Dorea_sp_AF36_15AT	Uncertain
Bacteria	Bacillota	Clostridia	Eubacteriales	Clostridiaceae	Clostridium	Clostridium_sp_AF20_17LB	Ethanol-resistant
Bacteria	Actinobacteria	Coriobacteriia	Eggerthellales	Eggerthellaceae	Eggerthella	Eggerthella_lenta	Non ethanol-resistant
Bacteria	Bacillota	Clostridia	Eubacteriales	Lachnospiraceae	Dorea	Dorea_formicigenerans	Ethanol-resistant
Bacteria	Bacillota	Clostridia	Eubacteriales	Oscillospiraceae	Flavonifractor	Flavonifractor_plautii	Uncertain
Bacteria	Bacillota	CFGB1765	OFGB1765	FGB1765	GGB4599	GGB4599_SGB6362	Ethanol-resistant
Bacteria	Bacillota	Clostridia	Eubacteriales	Lachnospiraceae	Dorea	Dorea_longicatena	Ethanol-resistant
Bacteria	Bacillota	Clostridia	Eubacteriales	Lachnospiraceae	Roseburia	Roseburia_hominis	Ethanol-resistant
Bacteria	Bacillota	CFGB1765	OFGB1765	FGB1765	GGB4585	GGB4585_SGB6340	Ethanol-resistant
Bacteria	Bacillota	Clostridia	Eubacteriales	Clostridiaceae	Clostridium	Clostridium_sp_AM49_4BH	Ethanol-resistant
Bacteria	Bacillota	Clostridia	Eubacteriales	Lachnospiraceae	Jutongia	Jutongia_hominis	Uncertain
Bacteria	Bacillota	CFGB9583	OFGB9583	FGB9583	GGB3490	GGB3490_SGB4664	Uncertain
Bacteria	Bacillota	Clostridia	Eubacteriales	Lachnospiraceae	Faecalimonas	Faecalimonas_umbilicata	Uncertain
Bacteria	Bacillota	Clostridia	Eubacteriales	Clostridiaceae	Clostridium	Clostridium_sp_AF27_2AA	Ethanol-resistant
Bacteria	Bacillota	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	Erysipelatoclostridium	Clostridium_spiroforme	Ethanol-resistant
Bacteria	Bacillota	Clostridia	Eubacteriales	Eubacteriales_Family_XIII_Incertae_Sedis	Lentihominibacter	Lentihominibacter_faecis	Ethanol-resistant
Bacteria	Bacillota	Clostridia	Eubacteriales	Eubacteriaceae	Eubacterium	Eubacterium_ventriosum	Ethanol-resistant
Bacteria	Bacillota	Clostridia	Eubacteriales	Lachnospiraceae	Fusicatenibacter	Fusicatenibacter_sp_CLA_AA_H277	Ethanol-resistant
Bacteria	Bacillota	CFGB1292	OFGB1292	FGB1292	GGB3109	GGB3109_SGB4119	Uncertain
Bacteria	Bacillota	Clostridia	Eubacteriales	Lachnospiraceae	Blautia	Blautia_obeum	Ethanol-resistant
Bacteria	Bacillota	Firmicutes_unclassified	Firmicutes_unclassified	Firmicutes_unclassified	Firmicutes_unclassified	Firmicutes_bacterium	Non ethanol-resistant
Bacteria	Bacillota	Clostridia	Eubacteriales	Oscillospiraceae	GGB9619	GGB9619_SGB15067	Non ethanol-resistant
Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus_salivarius	Ethanol-resistant
Bacteria	Actinobacteria	Actinomycetia	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium_adolescentis	Uncertain
Bacteria	Proteobacteria	Deltaproteobacteria	Desulfovibrionales	Desulfovibrionaceae	Bilophila	Bilophila_wadsworthia	Ethanol-resistant
Bacteria	Bacillota	CFGB3047	OFGB3047	FGB3047	GGB52130	GGB52130_SGB14966	Non ethanol-resistant
Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes	Alistipes_onderdonkii	Non ethanol-resistant
Bacteria	Bacillota	Clostridia	Eubacteriales	Lachnospiraceae	GGB3433	GGB3433_SGB4574	Ethanol-resistant
Bacteria	Bacillota	Clostridia	Eubacteriales	Clostridiaceae	Clostridiaceae_unclassified	Clostridiaceae_bacterium_Marseille_Q3526	Ethanol-resistant
Bacteria	Bacteria_unclassified	Bacteria_unclassified	Bacteria_unclassified	Bacteria_unclassified	Bacteria_unclassified	bacterium_210917_DFI_7_65	Non ethanol-resistant
Bacteria	Bacillota	Clostridia	Eubacteriales	Oscillospiraceae	Hydrogenoanaerobacterium	Hydrogenoanaerobacterium_saccharovorans	Non ethanol-resistant
Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes	Alistipes_dispar	Non ethanol-resistant
Bacteria	Bacillota	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	Erysipelatoclostridium	Clostridium_innocuum	Uncertain
Bacteria	Bacillota	Clostridia	Eubacteriales	Oscillospiraceae	Pseudoflavonifractor	Pseudoflavonifractor_gallinarum	Non ethanol-resistant
Bacteria	Bacillota	Clostridia	Eubacteriales	Oscillospiraceae	Oscillospiraceae_unclassified	Clostridium_leptum	Ethanol-resistant
Bacteria	Bacillota	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	Holdemania	Holdemania_filiformis	Ethanol-resistant
Bacteria	Bacillota	Clostridia	Eubacteriales	Lachnospiraceae	Roseburia	Roseburia_intestinalis	Ethanol-resistant
Bacteria	Bacillota	Clostridia	Eubacteriales	Clostridiaceae	Clostridium	Clostridium_sp_AM33_3	Ethanol-resistant
Bacteria	Bacillota	Clostridia	Clostridia_unclassified	Clostridia_unclassified	Clostridia_unclassified	Clostridia_bacterium_UC5_1_1D1	Uncertain
Bacteria	Bacillota	Clostridia	Eubacteriales	Lachnospiraceae	Blautia	Blautia_SGB4815	Ethanol-resistant
Bacteria	Bacillota	Clostridia	Eubacteriales	Lachnospiraceae	Simiaoa	Simiaoa_sunii	Ethanol-resistant
Bacteria	Bacillota	Clostridia	Eubacteriales	Lachnospiraceae	Enterocloster	Enterocloster_citroniae	Ethanol-resistant
Bacteria	Bacillota	Clostridia	Eubacteriales	Lachnospiraceae	Lachnospiraceae_unclassified	Lachnospiraceae_bacterium_EP_SM_12S_S03	Non ethanol-resistant
Bacteria	Bacillota	Negativicutes	Veillonellales	Veillonellaceae	Veillonella	Veillonella_parvula	Uncertain
Bacteria	Bacillota	Clostridia	Eubacteriales	Lachnospiraceae	Mediterraneibacter	Mediterraneibacter_SGB48424	Non ethanol-resistant
Bacteria	Actinobacteria	Actinomycetia	Actinomycetales	Actinomycetaceae	Actinomyces	Actinomyces_sp_ICM47	Ethanol-resistant
Bacteria	Bacillota	CFGB72939	OFGB72939	FGB72939	GGB74511	GGB74511_SGB47635	Uncertain
Bacteria	Bacillota	Clostridia	Eubacteriales	Eubacteriaceae	Eubacterium	Eubacterium_SGB4961	Ethanol-resistant
Bacteria	Proteobacteria	CFGB2404	OFGB2404	FGB2404	GGB6613	GGB6613_SGB9347	Only ethanol treated samples
Bacteria	Actinobacteria	Coriobacteriia	Eggerthellales	Eggerthellaceae	Raoultibacter	Raoultibacter_massiliensis	Non ethanol-resistant
Bacteria	Candidatus_Saccharibacteria	Candidatus_Saccharibacteria_unclassified	Candidatus_Saccharibacteria_unclassified	Candidatus_Saccharibacteria_unclassified	Candidatus_Saccharibacteria_unclassified	TM7_phylum_sp_oral_taxon_352	Ethanol-resistant
Bacteria	Bacillota	Clostridia	Eubacteriales	Oscillospiraceae	Anaerotruncus	Anaerotruncus_colihominis	Non ethanol-resistant
Bacteria	Bacillota	Clostridia	Eubacteriales	Lachnospiraceae	Mediterraneibacter	Mediterraneibacter_glycyrrhizinilyticus	Non ethanol-resistant
Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus_parasanguinis	Ethanol-resistant
Bacteria	Bacillota	Clostridia	Eubacteriales	Lachnospiraceae	Blautia	Blautia_producta	Non ethanol-resistant
Bacteria	Bacillota	Clostridia	Eubacteriales	Lachnospiraceae	Enterocloster	Enterocloster_clostridioformis	Ethanol-resistant
Bacteria	Bacillota	Clostridia	Eubacteriales	Oscillospiraceae	Oscillibacter	Oscillibacter_valericigenes	Non ethanol-resistant
Bacteria	Bacillota	Negativicutes	Veillonellales	Veillonellaceae	Veillonella	Veillonella_dispar	Ethanol-resistant
Bacteria	Bacillota	Clostridia	Eubacteriales	Oscillospiraceae	GGB9621	GGB9621_SGB15073	Non ethanol-resistant
Bacteria	Bacillota	CFGB1217	OFGB1217	FGB1217	GGB2982	GGB2982_SGB3964	Ethanol-resistant
Bacteria	Bacillota	Negativicutes	Veillonellales	Veillonellaceae	Veillonella	Veillonella_atypica	Only ethanol treated samples
Bacteria	Bacillota	Clostridia	Eubacteriales	Lachnospiraceae	Enterocloster	Enterocloster_lavalensis	Non ethanol-resistant
Bacteria	Bacillota	Clostridia	Eubacteriales	Lachnospiraceae	Roseburia	Roseburia_sp_AF02_12	Ethanol-resistant
Bacteria	Bacillota	CFGB1425	OFGB1425	FGB1425	GGB3491	GGB3491_SGB4665	Ethanol-resistant
Bacteria	Actinobacteria	Coriobacteriia	Eggerthellales	Eggerthellaceae	Adlercreutzia	Adlercreutzia_equolifaciens	Uncertain
Bacteria	Bacillota	Clostridia	Eubacteriales	Oscillospiraceae	Drancourtella	Drancourtella_massiliensis	Ethanol-resistant
Bacteria	Bacillota	Negativicutes	Veillonellales	Veillonellaceae	Veillonella	Veillonella_rogosae	Ethanol-resistant
Bacteria	Bacillota	Clostridia	Eubacteriales	Peptostreptococcaceae	Intestinibacter	Intestinibacter_bartlettii	Ethanol-resistant
Bacteria	Bacillota	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	Massilimicrobiota	Massilimicrobiota_timonensis	Uncertain
Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus_sp_F0442	Ethanol-resistant
Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus_australis	Ethanol-resistant
Bacteria	Actinobacteria	Actinomycetia	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium_breve	Non ethanol-resistant
Bacteria	Actinobacteria	Actinomycetia	Actinomycetales	Actinomycetaceae	Schaalia	Schaalia_SGB17168	Ethanol-resistant
Bacteria	Bacillota	Bacilli	Lactobacillales	Carnobacteriaceae	Granulicatella	Granulicatella_SGB8255	Ethanol-resistant
Bacteria	Bacillota	Clostridia	Eubacteriales	Lachnospiraceae	Blautia	Blautia_sp_OF03_15BH	Ethanol-resistant
Bacteria	Bacillota	Clostridia	Eubacteriales	Lachnospiraceae	Blautia	Blautia_caecimuris	Uncertain
Bacteria	Bacillota	Clostridia	Eubacteriales	Lachnospiraceae	Blautia	Blautia_sp_MCC283	Ethanol-resistant
Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia_coli	Ethanol-resistant
Bacteria	Bacillota	Clostridia	Eubacteriales	Clostridiaceae	Massilioclostridium	Massilioclostridium_coli	Ethanol-resistant
Bacteria	Bacillota	Clostridia	Eubacteriales	Lachnospiraceae	Enterocloster	Enterocloster_aldenensis	Ethanol-resistant
Bacteria	Bacillota	Clostridia	Eubacteriales	Oscillospiraceae	Massiliimalia	Massiliimalia_timonensis	Only ethanol treated samples
Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides_thetaiotaomicron	Uncertain
Bacteria	Bacillota	Clostridia	Eubacteriales	Lachnospiraceae	Enterocloster	Enterocloster_bolteae	Uncertain
Bacteria	Bacillota	Bacilli	Bacillales	Bacillales_unclassified	Gemella	Gemella_sanguinis	Ethanol-resistant
Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus_mitis	Ethanol-resistant
Bacteria	Actinobacteria	Actinomycetia	Micrococcales	Micrococcaceae	Rothia	Rothia_mucilaginosa	Only ethanol treated samples
Bacteria	Bacillota	Clostridia	Eubacteriales	Eubacteriaceae	Intestinibacillus	Intestinibacillus_sp_Marseille_P6563	Only ethanol treated samples
Bacteria	Bacillota	Clostridia	Eubacteriales	Oscillospiraceae	Neobittarella	Neobittarella_massiliensis	Uncertain
Bacteria	Bacillota	Clostridia	Eubacteriales	Lachnospiraceae	Roseburia	Roseburia_faecis	Ethanol-resistant
Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus_thermophilus	Ethanol-resistant
Bacteria	Bacillota	Clostridia	Eubacteriales	Peptostreptococcaceae	Romboutsia	Romboutsia_timonensis	Ethanol-resistant
Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus_gasseri	Non ethanol-resistant
Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus_vestibularis	Ethanol-resistant
Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Lactococcus	Lactococcus_lactis	Ethanol-resistant
Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus_mutans	Uncertain
Bacteria	Bacillota	Clostridia	Eubacteriales	Oscillospiraceae	Hydrogeniiclostridium	Hydrogeniiclostridium_mannosilyticum	Uncertain
Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus_sanguinis	Only ethanol treated samples
Bacteria	Bacillota	Clostridia	Eubacteriales	Clostridiaceae	Butyricicoccus	Butyricicoccus_SGB14985	Non ethanol-resistant
Bacteria	Bacillota	Clostridia	Eubacteriales	Peptostreptococcaceae	GGB4456	GGB4456_SGB6141	Ethanol-resistant
Bacteria	Bacillota	Clostridia	Eubacteriales	Clostridiaceae	Clostridium	Clostridium_SGB6179	Ethanol-resistant
Bacteria	Bacillota	Clostridia	Eubacteriales	Clostridiaceae	Clostridium	Clostridium_SGB6173	Ethanol-resistant
Bacteria	Bacillota	Clostridia	Eubacteriales	Oscillospiraceae	Ruthenibacterium	Ruthenibacterium_lactatiformans	Ethanol-resistant
Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus_oralis	Only ethanol treated samples
Bacteria	Actinobacteria	Actinomycetia	Actinomycetales	Actinomycetaceae	Actinomyces	Actinomyces_naeslundii	Non ethanol-resistant
Bacteria	Bacillota	Clostridia	Eubacteriales	Clostridiaceae	Clostridium	Clostridium_saudiense	Ethanol-resistant
Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus_gordonii	Only ethanol treated samples
Bacteria	Actinobacteria	Actinomycetia	Propionibacteriales	Propionibacteriaceae	Propionibacterium	Propionibacterium_acidifaciens	Only ethanol treated samples
Bacteria	Actinobacteria	Actinomycetia	Actinomycetales	Actinomycetaceae	Actinomyces	Actinomyces_sp_oral_taxon_448	Only ethanol treated samples
Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus_anginosus	Non ethanol-resistant
Bacteria	Actinobacteria	Actinomycetia	Actinomycetales	Actinomycetaceae	Actinomyces	Actinomyces_graevenitzii	Ethanol-resistant
Bacteria	Bacillota	Clostridia	Eubacteriales	Lachnospiraceae	GGB3583	GGB3583_SGB4799	Non ethanol-resistant
Bacteria	Bacillota	Clostridia	Eubacteriales	Lachnospiraceae	Faecalicatena	Faecalicatena_contorta	Uncertain
Bacteria	Candidatus_Saccharibacteria	Candidatus_Saccharibacteria_unclassified	Candidatus_Saccharibacteria_unclassified	Candidatus_Saccharibacteria_unclassified	Candidatus_Saccharibacteria_unclassified	TM7_phylum_sp_oral_taxon_348	Non ethanol-resistant
Bacteria	Bacillota	Negativicutes	Veillonellales	Veillonellaceae	Veillonella	Veillonella_tobetsuensis	Only ethanol treated samples
Bacteria	Actinobacteria	Actinomycetia	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium_dentium	Non ethanol-resistant
Bacteria	Bacillota	Clostridia	Eubacteriales	Eubacteriales_Family_XIII_Incertae_Sedis	Mogibacterium	Mogibacterium_diversum	Only ethanol treated samples
Bacteria	Actinobacteria	Actinomycetia	Actinomycetales	Actinomycetaceae	Schaalia	Schaalia_SGB17157	Ethanol-resistant
Bacteria	Actinobacteria	Actinomycetia	Actinomycetales	Actinomycetaceae	Actinomyces	Actinomyces_gerencseriae	Only ethanol treated samples
Bacteria	Actinobacteria	Actinomycetia	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium_bifidum	Uncertain
Bacteria	Bacillota	Clostridia	Eubacteriales	Clostridiaceae	Clostridium	Clostridium_sp_NSJ_42	Ethanol-resistant
Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Leuconostoc	Leuconostoc_mesenteroides	Only ethanol treated samples
Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides_caccae	Uncertain
Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Latilactobacillus	Latilactobacillus_sakei	Only ethanol treated samples
Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Lacticaseibacillus	Lacticaseibacillus_paracasei	Ethanol-resistant
Bacteria	Bacillota	Clostridia	Eubacteriales	Peptostreptococcaceae	Peptostreptococcus	Peptostreptococcus_anaerobius	Non ethanol-resistant
Bacteria	Bacillota	Tissierellia	Tissierellales	Peptoniphilaceae	Parvimonas	Parvimonas_parva	Non ethanol-resistant
Bacteria	Bacillota	Tissierellia	Tissierellales	Peptoniphilaceae	Peptoniphilus	Peptoniphilus_senegalensis	Non ethanol-resistant
Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Lentilactobacillus	Lentilactobacillus_diolivorans	Non ethanol-resistant
Bacteria	Bacillota	Clostridia	Eubacteriales	Eubacteriales_Family_XIII_Incertae_Sedis	Eubacteriales_Family_XIII_Incertae_Sedis_unclassified	Eubacteriales_Family_XIII_Incertae_Sedis_unclassified_SGB3978	Non ethanol-resistant
Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Lentilactobacillus	Lentilactobacillus_otakiensis	Non ethanol-resistant
Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Leuconostoc	Leuconostoc_carnosum	Uncertain
Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Lentilactobacillus	Lentilactobacillus_parabuchneri	Non ethanol-resistant
Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Lactiplantibacillus	Lactiplantibacillus_plantarum	Non ethanol-resistant
Bacteria	Actinobacteria	Actinomycetia	Actinomycetales	Actinomycetaceae	Schaalia	Schaalia_SGB17158	Only ethanol treated samples
Bacteria	Bacillota	Clostridia	Eubacteriales	Eubacteriales_unclassified	Fenollaria	Fenollaria_massiliensis	Non ethanol-resistant
Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Latilactobacillus	Latilactobacillus_curvatus	Only ethanol treated samples
Bacteria	Bacillota	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	Erysipelatoclostridium	Erysipelatoclostridium_sp_An15	Only ethanol treated samples
Bacteria	Bacillota	Clostridia	Eubacteriales	Eubacteriaceae	Anaerofustis	Anaerofustis_stercorihominis	Only ethanol treated samples
Bacteria	Bacillota	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	Solobacterium	Solobacterium_SGB6829	Only ethanol treated samples
Bacteria	Actinobacteria	Actinomycetia	Actinomycetales	Actinomycetaceae	Actinomyces	Actinomyces_oris	Only ethanol treated samples
Bacteria	Actinobacteria	Actinomycetia	Actinomycetales	Actinomycetaceae	Actinomyces	Actinomyces_bouchesdurhonensis	Only ethanol treated samples
Bacteria	Bacillota	Clostridia	Eubacteriales	Eubacteriales_Family_XIII_Incertae_Sedis	Eubacteriales_Family_XIII_Incertae_Sedis_unclassified	Eubacterium_sulci	Only ethanol treated samples
Bacteria	Bacillota	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	Solobacterium	Solobacterium_moorei	Non ethanol-resistant
Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Companilactobacillus	Companilactobacillus_versmoldensis	Non ethanol-resistant
Bacteria	Actinobacteria	Actinomycetia	Corynebacteriales	Corynebacteriaceae	Corynebacterium	Corynebacterium_durum	Only ethanol treated samples
Bacteria	Bacillota	Tissierellia	Tissierellales	Peptoniphilaceae	Peptoniphilus	Peptoniphilus_lacrimalis	Non ethanol-resistant
Bacteria	Bacillota	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	Solobacterium	Solobacterium_SGB6833	Non ethanol-resistant
Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus_cristatus	Only ethanol treated samples
Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus_rubneri	Ethanol-resistant
Bacteria	Actinobacteria	Actinomycetia	Actinomycetales	Actinomycetaceae	Schaalia	Schaalia_turicensis	Non ethanol-resistant
