AEDPJKHF_01491	group_4968
BOKAGMOO_01060	group_3361
BOKAGMOO_01061	group_3362
BOKAGMOO_01227	pilT_2
BOKAGMOO_01271	group_543
BOKAGMOO_01606	group_467
BOKAGMOO_01689	group_3368
BOKAGMOO_01860	group_2134
BOKAGMOO_01861	group_432
BOKAGMOO_01918	group_5222
BOKAGMOO_02033	group_3373
BOKAGMOO_02035	group_3374
BOKAGMOO_02105	group_3375
BOKAGMOO_02106	group_3376
BOKAGMOO_02108	group_3377
BOKAGMOO_02109	group_3378
BOKAGMOO_02110	group_3379
BOKAGMOO_02114	group_3380
BOKAGMOO_02122	group_3381
BOKAGMOO_02199	group_4957
BOKAGMOO_02294	group_3382
BOKAGMOO_02295	bshA
BOKAGMOO_02296	glmU_2
BOKAGMOO_02297	group_3385
BOKAGMOO_02298	group_3386
BOKAGMOO_02299	group_3387
BOKAGMOO_02300	arnC
BOKAGMOO_02301	group_3389
BOKAGMOO_02302	group_3390
BOKAGMOO_02303	group_3391
BOKAGMOO_02304	group_3392
BOKAGMOO_02305	group_3393
BOKAGMOO_02306	group_3394
BOKAGMOO_02307	group_3395
BOKAGMOO_02308	group_3396
BOKAGMOO_02309	group_3397
BOKAGMOO_02310	group_3398
BOKAGMOO_02312	group_3399
BOKAGMOO_02314	group_3400
BOKAGMOO_02317	group_3401
BOKAGMOO_02319	group_3402
BOKAGMOO_02353	group_3403
BOKAGMOO_02355	group_3404
BOKAGMOO_02357	group_3405
BOKAGMOO_02358	group_3406
BOKAGMOO_02359	group_3407
BOKAGMOO_02360	group_3408
BOKAGMOO_02362	group_3409
BOKAGMOO_02363	tarA
BOKAGMOO_02364	group_3411
BOKAGMOO_02365	group_3412
BOKAGMOO_02366	group_3413
BOKAGMOO_02367	group_3414
BOKAGMOO_02368	group_3415
BOKAGMOO_02369	group_3416
BOKAGMOO_02370	rfbF
BOKAGMOO_02371	rfbG
BOKAGMOO_02372	rmlC
BOKAGMOO_02373	rffG
BOKAGMOO_02384	pgcA_3
BOKAGMOO_02385	manA
BOKAGMOO_02386	group_3423
BOKAGMOO_02398	group_150
BOKAGMOO_02401	mscS_3
BOKAGMOO_02415	group_43
BOKAGMOO_02421	glfT1
BOKAGMOO_02422	rfbX
BOKAGMOO_02423	glf
BOKAGMOO_02425	group_3427
BOKAGMOO_02426	group_3428
BOKAGMOO_02427	group_3429
BOKAGMOO_02428	group_3430
BOKAGMOO_02430	group_3431
BOKAGMOO_02431	group_3432
BOKAGMOO_02432	group_3433
BOKAGMOO_02433	group_3434
BOKAGMOO_02434	group_3435
BOKAGMOO_02435	wbbL
BOKAGMOO_02436	group_3437
BOKAGMOO_02441	group_3438
BOKAGMOO_02442	group_3439
BOKAGMOO_02443	group_3440
BOKAGMOO_02444	group_3441
BOKAGMOO_02445	group_3442
BOKAGMOO_02446	arnE
BOKAGMOO_02447	group_3444
BOKAGMOO_02448	group_3445
BOKAGMOO_02449	group_3446
BOKAGMOO_02874	group_364
BOKAGMOO_02960	group_433
BOKAGMOO_02961	group_2135
BOKAGMOO_03075	xerD_3
BOKAGMOO_03076	xre
BOKAGMOO_03077	group_3457
BOKAGMOO_03078	group_3458
BOKAGMOO_03079	group_3459
BOKAGMOO_03080	group_3460
BOKAGMOO_03090	group_3461
BOKAGMOO_03091	group_3462
BOKAGMOO_03094	group_184
BOKAGMOO_03095	group_3463
BOKAGMOO_03096	group_3464
BOKAGMOO_03097	group_3465
BOKAGMOO_03098	group_3466
BOKAGMOO_03099	group_3467
BOKAGMOO_03100	group_3468
BOKAGMOO_03101	group_3469
BOKAGMOO_03102	group_3470
BOKAGMOO_03103	group_3471
BOKAGMOO_03104	group_3472
BOKAGMOO_03105	group_3473
BOKAGMOO_03106	group_3474
BOKAGMOO_03107	group_3475
BOKAGMOO_03108	group_3476
BOKAGMOO_03109	group_3477
BOKAGMOO_03110	group_3478
BOKAGMOO_03111	group_3479
BOKAGMOO_03114	group_3480
BOKAGMOO_03115	group_3481
BOKAGMOO_03118	group_1337
BOKAGMOO_03119	group_1335
BOKAGMOO_03120	group_488
BOKAGMOO_03121	group_3482
BOKAGMOO_03122	group_4958
BOKAGMOO_03123	group_3483
BOKAGMOO_03124	group_3484
BOKAGMOO_03125	group_3485
BOKAGMOO_03126	group_3486
BOKAGMOO_03127	group_3487
BOKAGMOO_03128	group_3488
BOKAGMOO_03129	group_3489
BOKAGMOO_03396	group_427
BOKAGMOO_03415	group_733
BOKAGMOO_03596	group_3508
BOKAGMOO_03601	group_3512
BOKAGMOO_03604	group_3514
BOKAGMOO_03605	group_3515
BOKAGMOO_03607	group_3516
BOKAGMOO_03614	group_3521
BOKAGMOO_03615	group_3522
BOKAGMOO_03621	group_3527
BOKAGMOO_03783	group_2137
BOKAGMOO_03784	group_434
DKLOLLIB_02004	group_659
EHAKBCLC_00281	group_555
EHAKBCLC_00486	mutL_1
EHAKBCLC_00559	group_3841
EHAKBCLC_00560	group_3842
EHAKBCLC_00561	smc_3
EHAKBCLC_00562	group_3844
EHAKBCLC_00563	group_3845
EHAKBCLC_00564	group_3846
EHAKBCLC_00565	group_3847
EHAKBCLC_00566	group_3848
EHAKBCLC_00567	group_3849
EHAKBCLC_00568	group_3850
EHAKBCLC_00569	group_3851
EHAKBCLC_00570	group_3852
EHAKBCLC_00571	group_3853
EHAKBCLC_00572	group_3854
EHAKBCLC_00573	group_3855
EHAKBCLC_00574	group_3856
EHAKBCLC_00575	group_3857
EHAKBCLC_00576	group_3858
EHAKBCLC_00577	group_3859
EHAKBCLC_00578	group_3860
EHAKBCLC_00579	group_3861
EHAKBCLC_00580	group_3862
EHAKBCLC_00581	group_3863
EHAKBCLC_00582	group_3864
EHAKBCLC_00583	group_3865
EHAKBCLC_00584	group_3866
EHAKBCLC_00585	group_3867
EHAKBCLC_00586	group_3868
EHAKBCLC_00590	group_3869
EHAKBCLC_00591	group_3870
EHAKBCLC_00592	group_3871
EHAKBCLC_00593	group_3872
EHAKBCLC_00594	group_3873
EHAKBCLC_01182	group_162
EHAKBCLC_01508	group_117
EHAKBCLC_02360	group_91
EHAKBCLC_02539	group_754
EHAKBCLC_02633	group_3874
EHAKBCLC_02637	group_3875
EHAKBCLC_02638	group_3876
EHAKBCLC_02655	group_3877
EHAKBCLC_02659	group_3878
EHAKBCLC_02665	group_3879
EHAKBCLC_02666	group_3880
EHAKBCLC_02674	group_3881
EHAKBCLC_02676	group_3882
EHAKBCLC_02679	group_3883
EHAKBCLC_02683	group_3884
EHAKBCLC_02684	group_3885
EHAKBCLC_02685	group_3886
EHAKBCLC_02686	group_3887
EHAKBCLC_02689	group_3888
EKMBDOEH_00196	group_312
EKMBDOEH_00555	group_327
EKMBDOEH_02348	group_166
EKMBDOEH_02616	group_45
EKMBDOEH_03319	group_241
EKMBDOEH_03437	group_28
EKMBDOEH_03599	group_446
FJDKAPFC_03418	group_708
FJDKAPFC_03597	group_445
HBNLJODD_03734	group_271
HCPOKGIH_02012	group_561
HDIBDOEI_03656	group_15
HDIBDOEI_03697	group_6155
HDIBDOEI_03698	group_264
HDIBDOEI_03699	group_263
HILFAOMK_00854	group_141
HILFAOMK_02087	group_769
HILFAOMK_03256	group_243
HILFAOMK_03601	group_453
HNFDINJL_00776	group_125
HNFDINJL_01329	clpA_2
HNFDINJL_01332	group_612
HNFDINJL_02490	group_3538
HNFDINJL_02532	group_639
HNFDINJL_02663	group_751
HNFDINJL_03691	group_260
HNFDINJL_03737	group_269
IALEAFGG_01945	group_230
IALEAFGG_01946	group_231
IALEAFGG_02237	group_401
IALEAFGG_03214	group_3232
IALEAFGG_03453	group_719
IALEAFGG_03554	group_14
IHJHGAMB_00162	group_1385
IHJHGAMB_00163	group_1386
IHJHGAMB_00167	group_827
IHJHGAMB_00168	group_1388
IHJHGAMB_00180	group_1389
IHJHGAMB_00196	group_1408
IHJHGAMB_00197	group_1409
IHJHGAMB_00198	group_1410
IHJHGAMB_00201	group_1411
IHJHGAMB_00204	group_1412
IHJHGAMB_00307	group_322
IHJHGAMB_00311	group_1418
IHJHGAMB_00312	group_1419
IHJHGAMB_00313	araC_1
IHJHGAMB_00326	xylH
IHJHGAMB_00327	xylG_1
IHJHGAMB_00328	sbpA
IHJHGAMB_00329	group_1424
IHJHGAMB_00437	group_66
IHJHGAMB_00499	group_1447
IHJHGAMB_00500	group_1448
IHJHGAMB_00501	group_1449
IHJHGAMB_00502	group_1450
IHJHGAMB_00503	group_1451
IHJHGAMB_00504	group_1452
IHJHGAMB_00511	group_1455
IHJHGAMB_00513	group_1456
IHJHGAMB_00514	group_1457
IHJHGAMB_00515	group_1458
IHJHGAMB_00518	group_1459
IHJHGAMB_00519	group_1460
IHJHGAMB_00520	aplIM
IHJHGAMB_00521	group_1462
IHJHGAMB_00548	group_1464
IHJHGAMB_00549	group_1465
IHJHGAMB_00550	group_1466
IHJHGAMB_00551	group_1467
IHJHGAMB_00552	group_534
IHJHGAMB_00555	group_1470
IHJHGAMB_00556	group_1471
IHJHGAMB_00557	group_1472
IHJHGAMB_00558	group_1473
IHJHGAMB_00559	group_1474
IHJHGAMB_00560	group_1475
IHJHGAMB_00585	group_538
IHJHGAMB_00608	group_1478
IHJHGAMB_00758	group_1494
IHJHGAMB_00759	group_1495
IHJHGAMB_00761	group_1496
IHJHGAMB_00762	sigE_2
IHJHGAMB_00788	group_1501
IHJHGAMB_00789	group_1502
IHJHGAMB_00790	group_1503
IHJHGAMB_00791	group_1504
IHJHGAMB_00889	pulA_2
IHJHGAMB_00925	group_1510
IHJHGAMB_00926	group_1511
IHJHGAMB_00927	group_1512
IHJHGAMB_00928	group_1513
IHJHGAMB_00929	group_1514
IHJHGAMB_00930	group_1515
IHJHGAMB_00932	group_1516
IHJHGAMB_00933	group_1517
IHJHGAMB_00934	group_1518
IHJHGAMB_00935	group_1519
IHJHGAMB_00936	group_1520
IHJHGAMB_00937	group_1521
IHJHGAMB_00938	group_1522
IHJHGAMB_00939	group_1523
IHJHGAMB_00940	group_1524
IHJHGAMB_00941	group_50
IHJHGAMB_00942	group_1525
IHJHGAMB_00943	group_1390
IHJHGAMB_00944	group_1526
IHJHGAMB_00945	group_1527
IHJHGAMB_00946	group_1528
IHJHGAMB_00947	group_1529
IHJHGAMB_00948	group_1530
IHJHGAMB_00949	group_1531
IHJHGAMB_00950	group_1532
IHJHGAMB_00951	group_1533
IHJHGAMB_00952	group_1534
IHJHGAMB_00953	group_1535
IHJHGAMB_00954	group_1536
IHJHGAMB_00955	group_1537
IHJHGAMB_00956	group_1538
IHJHGAMB_00957	group_1539
IHJHGAMB_00958	group_1540
IHJHGAMB_00959	group_1541
IHJHGAMB_00960	group_1542
IHJHGAMB_00961	group_1543
IHJHGAMB_00962	group_1544
IHJHGAMB_00963	group_1545
IHJHGAMB_00964	group_1546
IHJHGAMB_00966	group_1547
IHJHGAMB_00967	group_1548
IHJHGAMB_01124	group_1563
IHJHGAMB_01125	group_1564
IHJHGAMB_01126	group_1565
IHJHGAMB_01127	group_1566
IHJHGAMB_01128	group_1567
IHJHGAMB_01129	group_1568
IHJHGAMB_01134	group_1572
IHJHGAMB_01135	group_1573
IHJHGAMB_01136	group_1574
IHJHGAMB_01140	group_1577
IHJHGAMB_01141	group_1578
IHJHGAMB_01142	group_833
IHJHGAMB_01144	group_1580
IHJHGAMB_01148	group_1584
IHJHGAMB_01150	group_1586
IHJHGAMB_01153	group_1588
IHJHGAMB_01220	group_1594
IHJHGAMB_01222	group_1595
IHJHGAMB_01224	group_1596
IHJHGAMB_01225	group_1597
IHJHGAMB_01226	group_1598
IHJHGAMB_01227	group_1599
IHJHGAMB_01228	group_1600
IHJHGAMB_01229	group_1601
IHJHGAMB_01230	group_1602
IHJHGAMB_01234	group_1604
IHJHGAMB_01235	epsF_6
IHJHGAMB_01236	group_1606
IHJHGAMB_01237	group_1607
IHJHGAMB_01238	group_1608
IHJHGAMB_01287	yydK
IHJHGAMB_01288	group_1616
IHJHGAMB_01322	group_579
IHJHGAMB_01411	group_1627
IHJHGAMB_01412	group_1628
IHJHGAMB_01413	group_1629
IHJHGAMB_01414	group_1630
IHJHGAMB_01419	group_1634
IHJHGAMB_01425	group_1637
IHJHGAMB_01426	group_1638
IHJHGAMB_01427	group_1639
IHJHGAMB_01428	group_1640
IHJHGAMB_01429	group_1641
IHJHGAMB_01430	group_1642
IHJHGAMB_01431	group_1643
IHJHGAMB_01435	group_1647
IHJHGAMB_01436	group_1648
IHJHGAMB_01437	group_1649
IHJHGAMB_01438	group_1650
IHJHGAMB_01439	group_1651
IHJHGAMB_01440	group_1652
IHJHGAMB_01443	group_1654
IHJHGAMB_01444	group_1655
IHJHGAMB_01445	group_1656
IHJHGAMB_01446	group_1657
IHJHGAMB_01447	group_1658
IHJHGAMB_01448	group_1659
IHJHGAMB_01449	group_1660
IHJHGAMB_01459	group_1668
IHJHGAMB_01460	group_1669
IHJHGAMB_01591	group_1680
IHJHGAMB_01788	group_1684
IHJHGAMB_01816	group_1688
IHJHGAMB_01817	group_1689
IHJHGAMB_01818	group_1690
IHJHGAMB_01819	wecA_3
IHJHGAMB_01820	group_1692
IHJHGAMB_01821	algA
IHJHGAMB_01822	group_1694
IHJHGAMB_01823	gmd
IHJHGAMB_01824	group_1696
IHJHGAMB_01826	dapH_2
IHJHGAMB_01827	group_1698
IHJHGAMB_01828	group_1699
IHJHGAMB_01829	group_1700
IHJHGAMB_01830	group_1701
IHJHGAMB_01831	group_1702
IHJHGAMB_01832	cysE_2
IHJHGAMB_01833	group_1704
IHJHGAMB_01834	group_1705
IHJHGAMB_01880	group_366
IHJHGAMB_01881	group_367
IHJHGAMB_02165	group_632
IHJHGAMB_02213	group_1767
IHJHGAMB_02214	group_1768
IHJHGAMB_02219	group_1770
IHJHGAMB_02220	group_1771
IHJHGAMB_02284	group_637
IHJHGAMB_02326	cynR
IHJHGAMB_02327	group_1783
IHJHGAMB_02368	group_1788
IHJHGAMB_02369	group_1789
IHJHGAMB_02377	group_1790
IHJHGAMB_02417	group_1053
IHJHGAMB_02418	group_1791
IHJHGAMB_02419	group_1792
IHJHGAMB_02420	group_1793
IHJHGAMB_02421	group_1794
IHJHGAMB_02422	group_1795
IHJHGAMB_02423	group_1796
IHJHGAMB_02424	group_1797
IHJHGAMB_02425	group_1798
IHJHGAMB_02426	group_1799
IHJHGAMB_02427	group_1800
IHJHGAMB_02428	group_1801
IHJHGAMB_02429	group_1802
IHJHGAMB_02432	group_1805
IHJHGAMB_02434	group_1806
IHJHGAMB_02435	group_1807
IHJHGAMB_02436	group_1808
IHJHGAMB_02437	group_1809
IHJHGAMB_02438	group_1810
IHJHGAMB_02439	group_1811
IHJHGAMB_02440	group_1812
IHJHGAMB_02441	group_1813
IHJHGAMB_02442	group_1814
IHJHGAMB_02443	group_1815
IHJHGAMB_02446	group_1817
IHJHGAMB_02447	group_1818
IHJHGAMB_02448	group_1819
IHJHGAMB_02449	group_1820
IHJHGAMB_02453	dnaG_3
IHJHGAMB_02454	group_1823
IHJHGAMB_02456	group_828
IHJHGAMB_02457	group_1391
IHJHGAMB_02458	group_51
IHJHGAMB_02459	group_1825
IHJHGAMB_02460	group_1826
IHJHGAMB_02461	group_1827
IHJHGAMB_02462	group_1828
IHJHGAMB_02464	ssb_4
IHJHGAMB_02465	group_1831
IHJHGAMB_02466	group_1832
IHJHGAMB_02467	group_1833
IHJHGAMB_02468	group_1834
IHJHGAMB_02469	group_1835
IHJHGAMB_02470	group_1836
IHJHGAMB_02471	group_1837
IHJHGAMB_02472	group_1838
IHJHGAMB_02473	group_1839
IHJHGAMB_02474	group_1840
IHJHGAMB_02475	group_1841
IHJHGAMB_02476	group_1842
IHJHGAMB_02477	group_1843
IHJHGAMB_02478	group_1844
IHJHGAMB_02479	group_1845
IHJHGAMB_02480	group_1846
IHJHGAMB_02482	group_1848
IHJHGAMB_02483	group_1849
IHJHGAMB_02484	group_1850
IHJHGAMB_02485	group_1851
IHJHGAMB_02486	group_1852
IHJHGAMB_02487	group_1853
IHJHGAMB_02488	group_1854
IHJHGAMB_02489	group_1855
IHJHGAMB_02490	group_1856
IHJHGAMB_02536	group_1858
IHJHGAMB_02559	group_1874
IHJHGAMB_02575	group_647
IHJHGAMB_02592	hssR
IHJHGAMB_02594	group_652
IHJHGAMB_02596	group_382
IHJHGAMB_02597	group_383
IHJHGAMB_02717	group_1882
IHJHGAMB_02720	group_1885
IHJHGAMB_02731	group_1896
IHJHGAMB_02732	group_1897
IHJHGAMB_02735	group_1900
IHJHGAMB_02736	group_1901
IHJHGAMB_02737	group_1902
IHJHGAMB_02738	group_1903
IHJHGAMB_02739	group_1904
IHJHGAMB_02740	group_1905
IHJHGAMB_02741	group_1906
IHJHGAMB_02742	group_1907
IHJHGAMB_02743	group_1908
IHJHGAMB_02744	group_1909
IHJHGAMB_02746	group_1910
IHJHGAMB_02747	group_3236
IHJHGAMB_02748	group_1911
IHJHGAMB_02749	group_1912
IHJHGAMB_02752	group_1914
IHJHGAMB_02753	group_1915
IHJHGAMB_02870	bedA
IHJHGAMB_03027	group_1943
IHJHGAMB_03030	group_1944
IHJHGAMB_03031	group_1945
IHJHGAMB_03036	group_1946
IHJHGAMB_03037	group_1947
IHJHGAMB_03039	group_1948
IHJHGAMB_03057	ohrR
IHJHGAMB_03058	gpx1_2
IHJHGAMB_03059	trxB_3
IHJHGAMB_03060	trxA_3
IHJHGAMB_03061	group_1968
IHJHGAMB_03062	group_1969
IHJHGAMB_03063	group_1970
IHJHGAMB_03064	group_1971
IHJHGAMB_03096	group_100
IHJHGAMB_03186	group_358
IHJHGAMB_03206	group_1975
IHJHGAMB_03212	cph2
IHJHGAMB_03234	group_1054
IHJHGAMB_03235	group_683
IHJHGAMB_03236	group_1978
IHJHGAMB_03237	group_686
IHJHGAMB_03238	group_1979
IHJHGAMB_03241	group_1981
IHJHGAMB_03242	group_1982
IHJHGAMB_03243	group_1983
IHJHGAMB_03247	group_1985
IHJHGAMB_03248	group_1986
IHJHGAMB_03259	group_1987
IHJHGAMB_03260	group_1988
IHJHGAMB_03261	group_1989
IHJHGAMB_03262	group_1990
IHJHGAMB_03263	group_1991
IHJHGAMB_03447	group_1164
IHJHGAMB_03448	group_700
IHJHGAMB_03450	group_1998
IHJHGAMB_03451	group_1999
IHJHGAMB_03452	group_2000
IHJHGAMB_03453	group_2001
IHJHGAMB_03454	group_2002
IHJHGAMB_03455	group_2003
IHJHGAMB_03456	group_2004
IHJHGAMB_03457	group_2005
IHJHGAMB_03458	group_2006
IHJHGAMB_03459	group_2007
IHJHGAMB_03460	group_2008
IHJHGAMB_03461	group_2009
IHJHGAMB_03462	group_2010
IHJHGAMB_03480	group_2011
IHJHGAMB_03481	group_2012
IHJHGAMB_03482	group_2013
IHJHGAMB_03483	group_2014
IHJHGAMB_03484	group_2015
IHJHGAMB_03485	group_2016
IHJHGAMB_03486	group_2017
IHJHGAMB_03487	group_2018
IHJHGAMB_03488	group_2019
IHJHGAMB_03489	group_2020
IHJHGAMB_03490	group_2021
IHJHGAMB_03491	group_2022
IHJHGAMB_03492	group_2023
IHJHGAMB_03493	group_2024
IHJHGAMB_03494	group_2025
IHJHGAMB_03495	group_2026
IHJHGAMB_03496	group_2027
IHJHGAMB_03497	group_2028
IHJHGAMB_03498	group_2029
IHJHGAMB_03499	group_2030
IHJHGAMB_03500	group_2031
IHJHGAMB_03501	group_2032
IHJHGAMB_03502	hin_2
IHJHGAMB_03503	group_2034
IHJHGAMB_03504	group_2035
IHJHGAMB_03505	group_2036
IHJHGAMB_03506	group_2037
IHJHGAMB_03507	group_2038
IHJHGAMB_03508	group_2039
IHJHGAMB_03509	group_2040
IHJHGAMB_03510	group_2041
IHJHGAMB_03511	group_2042
IHJHGAMB_03512	group_2043
IHJHGAMB_03513	group_2044
IHJHGAMB_03514	group_2045
IHJHGAMB_03515	group_2046
IHJHGAMB_03527	group_568
IHJHGAMB_03548	group_1165
IHJHGAMB_03549	group_705
IHJHGAMB_03664	group_649
IHJHGAMB_03711	group_2082
IHJHGAMB_03712	group_2083
IHJHGAMB_03713	group_2084
IHJHGAMB_03760	group_255
IHJHGAMB_03761	glmM_4
IHJHGAMB_03774	ywnA
IHJHGAMB_03775	group_2104
IHJHGAMB_03776	group_2105
IHJHGAMB_03777	scrB_1
IHJHGAMB_03778	group_2107
IHJHGAMB_03787	group_2114
IHJHGAMB_03789	group_2115
IHJHGAMB_03790	group_2116
IHJHGAMB_03806	group_2119
IHJHGAMB_03807	group_2120
IHJHGAMB_03808	group_2121
IHJHGAMB_03809	group_2122
IHJHGAMB_03810	group_2123
IHJHGAMB_03825	group_2129
IHJHGAMB_03841	group_428
IHJHGAMB_03846	group_2152
IHJHGAMB_03847	group_2154
IHJHGAMB_03848	group_2156
IHJHGAMB_03854	group_2161
IHJHGAMB_03855	group_2162
IHJHGAMB_03867	group_2163
IHJHGAMB_03868	group_2165
IHJHGAMB_03869	group_1206
IHJHGAMB_03870	group_1209
IHJHGAMB_03871	group_2167
IJKMJDCK_00034	group_5240
IJKMJDCK_00064	group_202
IJKMJDCK_00455	group_5241
IJKMJDCK_00681	group_130
IJKMJDCK_00811	group_5243
IJKMJDCK_00974	group_459
IJKMJDCK_01036	group_5244
IJKMJDCK_01065	group_2319
IJKMJDCK_01161	group_5376
IJKMJDCK_01272	group_5245
IJKMJDCK_01363	group_559
IJKMJDCK_01427	group_287
IJKMJDCK_01485	group_288
IJKMJDCK_01529	group_460
IJKMJDCK_01646	group_5377
IJKMJDCK_01695	group_74
IJKMJDCK_01756	group_75
IJKMJDCK_01796	group_72
IJKMJDCK_01922	group_73
IJKMJDCK_02093	group_5246
IJKMJDCK_02228	group_5378
IJKMJDCK_02294	group_5247
IJKMJDCK_02371	group_5248
IJKMJDCK_02450	group_461
IJKMJDCK_02562	group_289
IJKMJDCK_02583	group_2417
IJKMJDCK_02705	group_462
IJKMJDCK_02764	group_1500
IJKMJDCK_02765	group_1498
IJKMJDCK_02795	group_5211
IJKMJDCK_02905	group_5379
IJKMJDCK_02977	group_5380
IJKMJDCK_02991	group_2443
IJKMJDCK_03254	group_5249
IJKMJDCK_03411	group_6156
IJKMJDCK_03551	group_2540
IJKMJDCK_03568	group_765
IJKMJDCK_03775	group_34
IJKMJDCK_03776	group_774
IJKMJDCK_03784	group_23
IJKMJDCK_03821	group_724
IMENKAIP_03536	group_27
IMENKAIP_03614	group_12
JCKKGGHC_01643	group_118
JCKKGGHC_02332	group_92
JCKKGGHC_03259	group_3835
JCKKGGHC_03396	group_302
JCKKGGHC_03491	group_422
JFFAGPGL_00035	group_283
JFFAGPGL_00056	group_67
JFFAGPGL_00174	group_205
JFFAGPGL_00228	rpmJ
JFFAGPGL_00302	group_4959
JFFAGPGL_00334	group_206
JFFAGPGL_00594	group_4960
JFFAGPGL_00607	group_207
JFFAGPGL_00747	group_5225
JFFAGPGL_00758	group_4961
JFFAGPGL_00882	group_68
JFFAGPGL_00918	group_456
JFFAGPGL_01121	group_208
JFFAGPGL_01225	group_5368
JFFAGPGL_01266	group_5228
JFFAGPGL_01336	group_3234
JFFAGPGL_01337	group_219
JFFAGPGL_01338	group_1247
JFFAGPGL_01355	group_5369
JFFAGPGL_01369	group_3235
JFFAGPGL_01403	group_4962
JFFAGPGL_01419	group_701
JFFAGPGL_01472	group_4963
JFFAGPGL_01517	group_359
JFFAGPGL_01672	group_5370
JFFAGPGL_01761	group_209
JFFAGPGL_01805	group_687
JFFAGPGL_01811	group_793
JFFAGPGL_01979	group_210
JFFAGPGL_02032	group_5229
